model,network,file,config,node,recall,f1_score,delay,TP,TN,FP,FN,event_missed,false_alarm
AE,Hanoi,all_results_16_AUTOENCODER.pkl,AUTOENCODER,16,0.9869451697127938,0.9934296977660972,10,756,49,0,10,0,0
AE,Hanoi,all_results_16_AUTOENCODER.pkl,AUTOENCODER2,16,0.9842105263157894,0.9920424403183024,9,561,245,0,9,0,0
AE,Hanoi,all_results_16_AUTOENCODER.pkl,AUTOENCODER3,16,0.9738903394255874,0.9867724867724867,10,373,432,0,10,0,0
AE,Hanoi,all_results_18_AUTOENCODER.pkl,AUTOENCODER,18,0.98828125,0.9941060903732809,9,759,47,0,9,0,0
AE,Hanoi,all_results_18_AUTOENCODER.pkl,AUTOENCODER2,18,0.984375,0.9921259842519685,9,567,239,0,9,0,0
AE,Hanoi,all_results_18_AUTOENCODER.pkl,AUTOENCODER3,18,0.9765625,0.9881422924901185,9,375,431,0,9,0,0
AE,Hanoi,all_results_20_AUTOENCODER.pkl,AUTOENCODER,20,0.984375,0.9921259842519685,12,756,47,0,12,0,0
AE,Hanoi,all_results_20_AUTOENCODER.pkl,AUTOENCODER2,20,0.984375,0.9921259842519685,9,567,239,0,9,0,0
AE,Hanoi,all_results_20_AUTOENCODER.pkl,AUTOENCODER3,20,0.9739583333333334,0.9868073878627969,10,374,431,0,10,0,0
AE,Hanoi,all_results_22_AUTOENCODER.pkl,AUTOENCODER,22,0.9869791666666666,0.9934469200524246,10,758,47,0,10,0,0
AE,Hanoi,all_results_22_AUTOENCODER.pkl,AUTOENCODER2,22,0.9843478260869565,0.9921121822962313,9,566,240,0,9,0,0
AE,Hanoi,all_results_22_AUTOENCODER.pkl,AUTOENCODER3,22,0.9739583333333334,0.9868073878627969,10,374,431,0,10,0,0
AE,Hanoi,all_results_25_AUTOENCODER.pkl,AUTOENCODER,25,0.9882506527415144,0.9940906106369009,9,757,49,0,9,0,0
AE,Hanoi,all_results_25_AUTOENCODER.pkl,AUTOENCODER2,25,0.9843205574912892,0.9920983318700615,9,565,241,0,9,0,0
AE,Hanoi,all_results_25_AUTOENCODER.pkl,AUTOENCODER3,25,0.9764397905759162,0.9880794701986755,9,373,433,0,9,0,0
AE,Hanoi,all_results_31_AUTOENCODER.pkl,AUTOENCODER,31,0.9882044560943644,0.994067237969677,9,754,52,0,9,0,0
AE,Hanoi,all_results_31_AUTOENCODER.pkl,AUTOENCODER2,31,0.9842381786339754,0.9920564872021183,9,562,244,0,9,0,0
AE,Hanoi,all_results_31_AUTOENCODER.pkl,AUTOENCODER3,31,0.9711286089238845,0.9853528628495339,11,370,434,0,11,0,0
AE,Hanoi,all_results_5_AUTOENCODER.pkl,AUTOENCODER,5,0.98828125,0.9941060903732809,9,759,47,0,9,0,0
AE,Hanoi,all_results_5_AUTOENCODER.pkl,AUTOENCODER2,5,0.984375,0.9921259842519685,9,567,239,0,9,0,0
AE,Hanoi,all_results_5_AUTOENCODER.pkl,AUTOENCODER3,5,0.9765625,0.9881422924901185,9,375,431,0,9,0,0
AE,Hanoi,all_results_9_AUTOENCODER.pkl,AUTOENCODER,9,0.9869791666666666,0.9934469200524246,10,758,47,0,10,0,0
AE,Hanoi,all_results_9_AUTOENCODER.pkl,AUTOENCODER2,9,0.9826086956521739,0.9912280701754386,10,565,240,0,10,0,0
AE,Hanoi,all_results_9_AUTOENCODER.pkl,AUTOENCODER3,9,0.9765013054830287,0.988110964332893,9,374,432,0,9,0,0
AE,Net1,all_results_11_AUTOENCODER.pkl,AUTOENCODER,11,0.861003861003861,0.9253112033195021,72,446,297,0,72,0,0
AE,Net1,all_results_11_AUTOENCODER.pkl,AUTOENCODER2,11,0.8484375,0.9180050718512257,97,543,0,0,97,0,0
AE,Net1,all_results_11_AUTOENCODER.pkl,AUTOENCODER3,11,1.0,0.6691266912669127,0,272,99,269,0,0,1
AE,Net1,all_results_12_AUTOENCODER.pkl,AUTOENCODER,12,1.0,0.9103448275862069,0,528,183,104,0,0,1
AE,Net1,all_results_12_AUTOENCODER.pkl,AUTOENCODER2,12,0.8625,0.9261744966442953,88,552,0,0,88,0,0
AE,Net1,all_results_12_AUTOENCODER.pkl,AUTOENCODER3,12,1.0,0.6517647058823529,0,277,67,296,0,0,1
